From 2 to 1;From 3 to 1;From 7 to 2;From 8 to 2;From 7 to 3;From 5 to 4;From 6 to 4
0.5164 (0.0171);0.0275 (0.0067);0.037 (0.0072);0.0387 (0.006);0.0101 (0.0035);0.9769 (0.0641);0.9773 (0.0629)
0.5595 (0.0295);0.3775 (0.0236);0.0391 (0.0085);0.0918 (0.0113);7e-04 (7e-04);0.6812 (0.3909);0.6815 (0.3906)
1 (0);0.9999 (2e-04);0.4904 (0.0097);0.4184 (0.016);1e-04 (1e-04);0.45 (0.5016);0.4498 (0.5016)
1 (0);1 (0);0.7891 (0.0189);0.7938 (0.0204);1e-04 (3e-04);0.6975 (0.3859);0.6974 (0.3857)
0.5164 (0.0126);0.0275 (0.0019);0.037 (0.0019);0.0387 (0.003);0.0101 (0.001);0.9769 (0.0489);0.9773 (0.049)
0.5595 (0.1059);0.3775 (0.1068);0.0391 (0.0018);0.0918 (0.0034);7e-04 (2e-04);0.6812 (0.4984);0.6815 (0.4983)
1 (0.0222);0.9999 (0.022);0.4904 (0.0135);0.4184 (0.0282);1e-04 (0);0.45 (0.5164);0.4498 (0.5163)
1 (0);1 (0);0.7891 (0.0088);0.7938 (0.0109);1e-04 (2e-04);0.6975 (0.4411);0.6974 (0.4409)
0.5164 (0.0126);0.0275 (0.0019);0.037 (0.0019);0.0387 (0.003);0.0101 (0.001);0.9769 (0.0489);0.9773 (0.049)
0.5595 (0.0664);0.3775 (0.0594);0.0391 (0.0028);0.0918 (0.0045);7e-04 (3e-04);0.6812 (0.4104);0.6815 (0.4103)
1 (4e-04);0.9999 (5e-04);0.4904 (0.0148);0.4184 (0.0156);1e-04 (1e-04);0.45 (0.5071);0.4498 (0.5071)
1 (0);1 (2e-04);0.7891 (0.01);0.7938 (0.0095);1e-04 (3e-04);0.6975 (0.4767);0.6974 (0.4765)
0.381 (0.313);0.0122 (0.0276);0.0356 (0.0519);0.0205 (0.0337);0.003 (0.0059);0.5948 (0.4448);0.5402 (0.4437)
0.6391 (0.4715);0.5792 (0.4639);0.0293 (0.0588);0.3778 (0.3683);9e-04 (0.0015);0.5285 (0.444);0.4372 (0.4414)
0.7292 (0.4394);0.5125 (0.435);0.3053 (0.3836);0.4307 (0.4538);2e-04 (7e-04);0.7149 (0.3957);0.4761 (0.4643)
0.6537 (0.4749);0.6061 (0.4275);0.743 (0.3621);0.5399 (0.4351);0 (0);0.7399 (0.4102);0.4517 (0.459)
