"","True_Positive","True_Negative","False_Positive","False_Negative"
"1","2.867 (0.352)","56.867 (0.352)","0.133 (0.352)","4.133 (0.352)"
"2","2.333 (0.976)","56.333 (0.976)","0.667 (0.976)","4.667 (0.976)"
"3","3.133 (1.06)","55.6 (1.183)","1.4 (1.183)","3.867 (1.06)"
"4","5.333 (0.976)","56.333 (0.976)","0.667 (0.976)","1.667 (0.976)"
"5","2.4 (0.507)","56.4 (0.507)","0.6 (0.507)","4.6 (0.507)"
"6","1.333 (1.345)","55.133 (1.187)","1.867 (1.187)","5.667 (1.345)"
"7","3.067 (1.033)","55.6 (1.056)","1.4 (1.056)","3.933 (1.033)"
"8","5.333 (0.976)","56.333 (0.976)","0.667 (0.976)","1.667 (0.976)"
"9","2.4 (0.507)","56.4 (0.507)","0.6 (0.507)","4.6 (0.507)"
"10","2.133 (0.743)","56.133 (0.743)","0.867 (0.743)","4.867 (0.743)"
"11","3.333 (0.9)","55.733 (1.033)","1.267 (1.033)","3.667 (0.9)"
"12","5.2 (1.014)","56.2 (1.014)","0.8 (1.014)","1.8 (1.014)"
"13","1.08 (1.104)","54.74 (1.454)","2.26 (1.454)","5.92 (1.104)"
"14","2.46 (1.568)","54.42 (1.43)","2.58 (1.43)","4.54 (1.568)"
"15","3.1 (1.233)","53.26 (1.575)","3.74 (1.575)","3.9 (1.233)"
"16","3.78 (1.489)","53.38 (2.329)","3.62 (2.329)","3.22 (1.489)"
